fast	extraction amount	cooperation =(20-extraction)/20	timeDEC	inTime	experienced	L_numStudies	gender	age	ed	social_cons	fiscal_cons	god	failedComp
0	0	1	18.194	1	1	3.041787	1	46	5	5	7	4	0
0	15	0.25	23.11	1	1	2.399674	2	29	5	1	5	8	0
0	0	1	20.278	1	0	2.178977	1	39	4	4	5	2	1
1	20	0	5.976	1	1		2	37	4	3	5	10	0
0	20	0	13.795	1	0	2.654176	2	50	5	6	6	10	0
0	0	1	12.556	1	1	2.603144	1	25	5	4	4	10	0
0	20	0	7.622	0	1	2.699838	2	25	2	7	7	1	0
1	0	1	5.208	1	1	1.322219	2	39	6	2	5	5	1
0	0	1	7.371	0	1	2.448706	2	23	5	1	3	4	0
1	0	1	5.663	1	1	2.217484	2	33	2	2	6	10	0
0	0	1	11.899	1	1	0.30103	1	22	5	2	2	3	0
0	0	1	19.052	1	0	2.363612	1	25	5	1	3	10	0
1	10	0.5	9.629	0	1	2.178977	2	32	6	1	2	1	0
0	15	0.25	18.606	1	1	3.000434	2	27	5	2	2	9	1
0	20	0	16.363	1	1	3.778224	1	31	5	7	7	10	0
1	20	0	3.442	1	1	2.778874	2	32	5	1	1	1	0
0	10	0.5	13.199	1	1	2.303196	2	27	5	3	5	2	0
0	8	0.6	37	1	1	2.399674	1	20	4	2	2	1	0
1	10	0.5	6.22	1	0	2.004321	2	26	5	2	3	10	0
1	20	0	3.723	1	1	3.602169	1	20	2	4	4	1	0
0	20	0	13.041	1	1	2.303196	1	22	4	3	1	10	0
0	10	0.5	40.947	1	1	2.716838	1	18	4	1	2	1	0
1	20	0	6.741	1	0	1.414973	1	31	5	6	7	10	0
0	20	0	25.206	1	1	3.477266	1	24	5	3	3	1	0
1	10	0.5	6.218	1	1	2.929929	1	32	5	5	3	4	0
1	0	1	3.942	1	1	2.658965	1	39	6	2	6	1	0
0	15	0.25	12.212	1	1	3.176381	1	33	5	2	2	1	0
0	10	0.5	16.464	1	1	2.178977	1	22	2	2	4	1	0
0	0	1	13.161	1	1	3.477266	1	23	4	2	2	1	0
1	20	0	5.379	1	1	2.892651	1	22	5	4	4	10	0
1	20	0	5.28	1	1	2.699838	1	23	4	3	4	7	0
1	0	1	7.61	1	0	2.004321	2	29	5	3	5	2	0
0	0	1	16.222	1	1	2.954725	1	28	6	1	1	6	0
1	20	0	5.99	1	0	2.440909	1	29	2	4	4	10	0
0	20	0	14.392	1	1	2.303196	1	26	5	2	4	3	0
0	10	0.5	25.589	1	0	1.78533	1	24	5	3	4	3	0
1	10	0.5	14.226	0	1	2.603144	1	23	5	4	4	2	0
1	20	0	6.069	1	1	3.000434	1	28	4	3	3	1	1
0	20	0	13.911	1	1	2.004321	2	25	6	2	4	10	0
1	20	0	7.933	1	1	3.398114	1	37	6	4	4	7	0
1	0	1	5.821	1	1	2.603144	1	29	6	4	4	3	0
0	10	0.5	24.195	1	1	3.000434	1	26	4	2	2	1	0
1	0	1	3.087	1	1	3.477266	1	23	5	1	1	1	0
0	0	1	23.82	1	1	2.699838	2	30	4	2	2	1	0
1	0	1	8.941	0	1	2.948902	2	24	5	1	1	1	0
0	20	0	14.189	1	1	2.603144	1	33	5	4	4	1	0
1	0	1	6.026	1	0	2.334454	1	35	5	1	7	1	0
0	0	1	13.244	1	1	2.262451	1	22	4	1	1	1	0
0	20	0	25.36	1	0	1.39794	2	22	4	4	4	7	0
0	0	1	20.779	1	1	2.813581	1	20	4	3	4	1	0
1	10	0.5	10.202	0	1	0.845098	1	33	4	4	7	6	0
1	0	1	4.394	1	1	2.004321	1	25	4	1	2	1	0
0	0	1	18.504	1	1	2.303196	2	23	5	1	2	2	0
0	0	1	16.46	1	1	1.778151	2	39	2	3	3	1	0
1	20	0	7.202	1	0	2.178977	1	26	6	3	4	1	0
1	20	0	51.128	0	1	3.278982	1	25	5	2	6	1	0
1	20	0	4.771	1	1	2.303196	2	27	5	3	5	1	0
1	0	1	7.699	1	1	2.545307	1	26	6	3	5	10	0
0	0	1	3.054	0	1	2.699838	2	24	5	1	2	1	0
0	20	0	5.798	0	1	3.079543	1	24	5	3	5	2	0
0	20	0	22.908	1	0	3.301247	1	38	5	5	5	10	0
0	0	1	22.016	1	0	1.908485	1	23	5	3	5	8	0
0	0	1	13.894	1	1	2.545307	1	23	4	1	1	1	0
