"speaker_id"	"text"	"start_time"	"stop_time"	"transcript"	"audio"	"pitch_mean"	"advocate_name"	"advocate_role"	"type"	"gender"
"John_G_Roberts"	"We'll hear argument next in Case 11-626, Lozman v. The City of Riviera Beach. Mr. Fisher."	0	8.504	"2012_11-626_transcript.csv"	"2012_11-626_argument.mp3"	170.49355952453	NA	NA	"justice"	"male"
"Jeffrey_L_Fisher"	"Mr. Chief Justice, and may it please the Court: To be a vessel, a structure must be practically capable of maritime transportation, and this case turns on how to assess such practical capability. And that's a question this Court answered over a century ago in Cope and Perry, explaining that practical capability depends not on any physical attribute the structure might have, but rather, on “ its purpose ”, that is, whether its function is to move people or things across water. And that test has been applied numerous times before and since, across decades, providing stability and overall coherence to general maritime law. And of course--"	8.504	50.547	"2012_11-626_transcript.csv"	"2012_11-626_argument.mp3"	165.494520631455	"Jeffrey L. Fisher"	"(for the petitioner)"	"advocate"	"male"
"Antonin_Scalia"	"You should have phrased the test that way then, because it really--"	50.547	53.266	"2012_11-626_transcript.csv"	"2012_11-626_argument.mp3"	144.210659728826	NA	NA	"justice"	"male"
"Jeffrey_L_Fisher"	"--Pardon?"	53.266	53.885	"2012_11-626_transcript.csv"	"2012_11-626_argument.mp3"	NA	"Jeffrey L. Fisher"	"(for the petitioner)"	"advocate"	"male"
"Antonin_Scalia"	"--That doesn't seem to me a very felicitous description of what -- of what the test is -- is enunciated to be."	53.885	65.257	"2012_11-626_transcript.csv"	"2012_11-626_argument.mp3"	171.912721995747	NA	NA	"justice"	"male"
"Jeffrey_L_Fisher"	"Well, I think--"	65.257	66.923	"2012_11-626_transcript.csv"	"2012_11-626_argument.mp3"	160.858541825499	"Jeffrey L. Fisher"	"(for the petitioner)"	"advocate"	"male"
"Antonin_Scalia"	"The test is whether it's, what, practically able?"	66.923	70.225	"2012_11-626_transcript.csv"	"2012_11-626_argument.mp3"	171.288306942655	NA	NA	"justice"	"male"
"Jeffrey_L_Fisher"	"--Practically capable."	70.225	71.494	"2012_11-626_transcript.csv"	"2012_11-626_argument.mp3"	167.335316409839	"Jeffrey L. Fisher"	"(for the petitioner)"	"advocate"	"male"
"Antonin_Scalia"	"Practically capable. Well, you could be practically capable of doing something, even though the purpose of -- of setting the thing up has nothing to do with that."	71.494	81.182	"2012_11-626_transcript.csv"	"2012_11-626_argument.mp3"	214.553590952215	NA	NA	"justice"	"male"
"Jeffrey_L_Fisher"	"Well, that's not what this Court -- case is saying--"	81.182	83.634	"2012_11-626_transcript.csv"	"2012_11-626_argument.mp3"	156.424125473251	"Jeffrey L. Fisher"	"(for the petitioner)"	"advocate"	"male"
