"speaker_id"	"text"	"sync_time"	"name"	"type"	"gender"
"John_G_Roberts"	"We'll hear argument next in Case 11-626, Lozman v. The City of Riviera Beach."	0	"John G. Roberts"	"justice"	"male"
"John_G_Roberts"	"Mr. Fisher."	7.57	"John G. Roberts"	"justice"	"male"
"Jeffrey_L_Fisher"	"Mr. Chief Justice, and may it please the Court:"	8.504	"Jeffrey L. Fisher"	"advocate"	"male"
"Jeffrey_L_Fisher"	"To be a vessel, a structure must be practically capable of maritime transportation, and this case turns on how to assess such practical capability."	12.558	"Jeffrey L. Fisher"	"advocate"	"male"
"Jeffrey_L_Fisher"	"And that's a question this Court answered over a century ago in Cope and Perry, explaining that practical capability depends not on any physical attribute the structure might have, but rather, on “ its purpose ”, that is, whether its function is to move people or things across water."	22.414	"Jeffrey L. Fisher"	"advocate"	"male"
"Jeffrey_L_Fisher"	"And that test has been applied numerous times before and since, across decades, providing stability and overall coherence to general maritime law."	39.375	"Jeffrey L. Fisher"	"advocate"	"male"
"Jeffrey_L_Fisher"	"And of course--"	49.247	"Jeffrey L. Fisher"	"advocate"	"male"
"Antonin_Scalia"	"You should have phrased the test that way then, because it really--"	50.547	"Antonin Scalia"	"justice"	"male"
"Jeffrey_L_Fisher"	"--Pardon?"	53.266	"Jeffrey L. Fisher"	"advocate"	"male"
"Antonin_Scalia"	"--That doesn't seem to me a very felicitous description of what -- of what the test is -- is enunciated to be."	53.885	"Antonin Scalia"	"justice"	"male"
"Jeffrey_L_Fisher"	"Well, I think--"	65.257	"Jeffrey L. Fisher"	"advocate"	"male"
"Antonin_Scalia"	"The test is whether it's, what, practically able?"	66.923	"Antonin Scalia"	"justice"	"male"
"Jeffrey_L_Fisher"	"--Practically capable."	70.225	"Jeffrey L. Fisher"	"advocate"	"male"
"Antonin_Scalia"	"Practically capable."	71.494	"Antonin Scalia"	"justice"	"male"
"Antonin_Scalia"	"Well, you could be practically capable of doing something, even though the purpose of -- of setting the thing up has nothing to do with that."	72.877	"Antonin Scalia"	"justice"	"male"
"Jeffrey_L_Fisher"	"Well, that's not what this Court -- case is saying--"	81.182	"Jeffrey L. Fisher"	"advocate"	"male"
"Antonin_Scalia"	"I understand."	83.634	"Antonin Scalia"	"justice"	"male"
"Antonin_Scalia"	"I'm just saying we ought to get a different test, and let's -- let's get rid of this."	84.318	"Antonin Scalia"	"justice"	"male"
"Antonin_Scalia"	"If we agree with you, let's get rid of this practically capable test, because practically capable, frankly, would make us come out the other way in this case."	87.603	"Antonin Scalia"	"justice"	"male"
"Jeffrey_L_Fisher"	"--With all due respect, I don't think that's correct."	98.061	"Jeffrey L. Fisher"	"advocate"	"male"
"Jeffrey_L_Fisher"	"In Evansville in 1926, this Court used that exact phrase, practical capability."	99.861	"Jeffrey L. Fisher"	"advocate"	"male"
"Jeffrey_L_Fisher"	"And it assessed that practical capability by looking at “ the function of the structure ”."	104.465	"Jeffrey L. Fisher"	"advocate"	"male"
"Jeffrey_L_Fisher"	"Again and again, in Evansville and other cases, this Court asked, was the function of the structure to carry people or things across water."	109.25	"Jeffrey L. Fisher"	"advocate"	"male"
"John_G_Roberts"	"Well, that just has -- I understand that argument."	117.123	"John G. Roberts"	"justice"	"male"
"John_G_Roberts"	"It's got no connection whatever to the statutory language, right?"	120.074	"John G. Roberts"	"justice"	"male"
"Jeffrey_L_Fisher"	"Well, I think the word capable obviously is in the statute."	123.843	"Jeffrey L. Fisher"	"advocate"	"male"
"Jeffrey_L_Fisher"	"And what this Court said as recently as Stewart is that capable--"	127.061	"Jeffrey L. Fisher"	"advocate"	"male"
"John_G_Roberts"	"Capable is in the statute, purpose is not, right?"	130.615	"John G. Roberts"	"justice"	"male"
"Jeffrey_L_Fisher"	"--Correct."	133.151	"Jeffrey L. Fisher"	"advocate"	"male"
"Jeffrey_L_Fisher"	"And what this Court said in Stewart is that capable means practically capable, not theoretically capable."	134.317	"Jeffrey L. Fisher"	"advocate"	"male"
"Jeffrey_L_Fisher"	"There's a range of how broad the word capable can be."	139.888	"Jeffrey L. Fisher"	"advocate"	"male"
"Jeffrey_L_Fisher"	"And again, going back over a century, every single time this Court's been confronted with that question, it's used the term function to describe whether or not something is practically capable of carrying people or things over water."	143.34	"Jeffrey L. Fisher"	"advocate"	"male"
"Ruth_Bader_Ginsburg"	"You -- you describe cases with this purpose -- or function, but the briefs cited the district court decision, Sea Village Marina, that says floating homes like the one here that can be towed and are not in the business of carrying people or goods, but can be towed miles across the water, that those constitute vessels."	155.498	"Ruth Bader Ginsburg"	"justice"	"female"
"Ruth_Bader_Ginsburg"	"And this district court decision, Sea Village Marina, cited many, many cases."	187.869	"Ruth Bader Ginsburg"	"justice"	"female"
"Ruth_Bader_Ginsburg"	"And you say that that district judge got it wrong, or the cases were wrong?"	195.975	"Ruth Bader Ginsburg"	"justice"	"female"
"Jeffrey_L_Fisher"	"Justice Ginsburg, I think there's a confusion of terminology that I hope I can -- that I hope I can straighten out at the outset."	203.544	"Jeffrey L. Fisher"	"advocate"	"male"
"Jeffrey_L_Fisher"	"The term floating home is generally described to mean a residence that is designed to sit still and is not designed to carry people or things over water."	211.15	"Jeffrey L. Fisher"	"advocate"	"male"
"Jeffrey_L_Fisher"	"The term houseboat is something that is self-propelled, generally moves people or things over water."	219.138	"Jeffrey L. Fisher"	"advocate"	"male"
"Jeffrey_L_Fisher"	"What happened in the Sea Village Marina case, to my understanding, is the Court simply used the wrong term."	226.458	"Jeffrey L. Fisher"	"advocate"	"male"
"Jeffrey_L_Fisher"	"It cited a lot of cases that held that houseboats, as we describe a houseboat as something that is designed to move its owner and the owner's things from here to there, are vessels."	230.744	"Jeffrey L. Fisher"	"advocate"	"male"
"Jeffrey_L_Fisher"	"And we don't dispute that."	242.067	"Jeffrey L. Fisher"	"advocate"	"male"
"Jeffrey_L_Fisher"	"But on the other hand, you have something called floating homes, which the brief filed by the Seattle and Sausalito floating homes associations give a very thorough description of what a floating home is and how it's different."	243.003	"Jeffrey L. Fisher"	"advocate"	"male"
"Jeffrey_L_Fisher"	"And a primary way that it's different is that, as opposed to a houseboat, which is doing its function, it's doing its job when it's moving things from place to place, a floating home can't function when it's out in the water being towed."	254.442	"Jeffrey L. Fisher"	"advocate"	"male"
"Jeffrey_L_Fisher"	"None of the utilities work, none of the power, no equipment is aboard to do anything--"	267.535	"Jeffrey L. Fisher"	"advocate"	"male"
"Anthony_Kennedy"	"Well, but in -- in your brief, I really lost count, but I think it's six times on the first two pages, you talk about indefinitely moored."	272.273	"Anthony Kennedy"	"justice"	"male"
"Anthony_Kennedy"	"Now, the facts are in dispute, and we're not quite clear of the facts, but let's assume that this magnificent structure is -- which was mercifully destroyed -- let's assume that it was attached to the dock by a rope, a garden hose and an extension cord, and that it could leave within 30 minutes notice."	280.277	"Anthony Kennedy"	"justice"	"male"
"Anthony_Kennedy"	"Is that indefinitely moored?"	310.648	"Anthony Kennedy"	"justice"	"male"
"Anthony_Kennedy"	"And if the answer is yes, is that because of subjective intent of the owner?"	313.231	"Anthony Kennedy"	"justice"	"male"
"Jeffrey_L_Fisher"	"--Justice Kennedy, it would be indefinitely moored."	320.504	"Jeffrey L. Fisher"	"advocate"	"male"
"Jeffrey_L_Fisher"	"That's the term this Court used in Stewart to describe whether something was being used to transport people or goods."	324.371	"Jeffrey L. Fisher"	"advocate"	"male"
"Jeffrey_L_Fisher"	"It had said -- I have to emphasize that some of the assumptions we do in fact dispute in your hypothetical."	330.192	"Jeffrey L. Fisher"	"advocate"	"male"
"Jeffrey_L_Fisher"	"But the fact that it sat still for three years performing its function as a stationary residence shows that it was indefinitely moored."	335.763	"Jeffrey L. Fisher"	"advocate"	"male"
"Jeffrey_L_Fisher"	"The importance of indefinite mooring, though, I want to emphasize, is actually less important in this case than it might be if this were a dead ship case, where you had something that was concededly a vessel--"	342.517	"Jeffrey L. Fisher"	"advocate"	"male"
"Anthony_Kennedy"	"But suppose--"	352.725	"Anthony Kennedy"	"justice"	"male"
"Jeffrey_L_Fisher"	"--then the question--"	353.375	"Jeffrey L. Fisher"	"advocate"	"male"
"Anthony_Kennedy"	"--you know the law school game, suppose it was moved every month."	354.058	"Anthony Kennedy"	"justice"	"male"
"Jeffrey_L_Fisher"	"--It would still not be a vessel."	357.11	"Jeffrey L. Fisher"	"advocate"	"male"
"Jeffrey_L_Fisher"	"And you don't have to look any further than this Court's Evansville case."	361.08	"Jeffrey L. Fisher"	"advocate"	"male"
"Anthony_Kennedy"	"That would be indefinitely moored, in your view?"	363.948	"Anthony Kennedy"	"justice"	"male"
"Jeffrey_L_Fisher"	"Well, I'm not sure if you'd use the term indefinitely moored at that point, but it certainly wouldn't be transformed into a vessel because look at this Court's Evansville case."	365.948	"Jeffrey L. Fisher"	"advocate"	"male"
"Jeffrey_L_Fisher"	"The structure--"	374.72	"Jeffrey L. Fisher"	"advocate"	"male"
"John_G_Roberts"	"Before you get to Evansville, let's say it moved around, which is one thing, but also it had a raked bow; it wasn't square."	375.756	"John G. Roberts"	"justice"	"male"
"John_G_Roberts"	"Then -- then it starts to look more like a boat."	382.243	"John G. Roberts"	"justice"	"male"
"John_G_Roberts"	"It moves around more frequently."	384.06	"John G. Roberts"	"justice"	"male"
"John_G_Roberts"	"Its mooring -- I mean, if you have a sailboat and you pull it up to a dock, you hook up for water and plug in for power."	385.694	"John G. Roberts"	"justice"	"male"
"John_G_Roberts"	"It doesn't seem to me to be terribly significant."	391.515	"John G. Roberts"	"justice"	"male"
"Jeffrey_L_Fisher"	"--I think that's right if you start with something that is a vessel; the fact that you simply leave it at the dock for a long time doesn't take away vessel status."	394.133	"Jeffrey L. Fisher"	"advocate"	"male"
"Jeffrey_L_Fisher"	"That's what this Court held in Stewart."	402.221	"Jeffrey L. Fisher"	"advocate"	"male"
"Jeffrey_L_Fisher"	"But if you start with something that isn't a vessel -- and I give you the Roper case, which did have a raked bow; it was an old Liberty ship that had everybody agreed had been decommissioned and turned into a non-vessel."	404.073	"Jeffrey L. Fisher"	"advocate"	"male"
"Jeffrey_L_Fisher"	"Then, they brought it in, they towed it -- Justice Ginsburg, they towed it -- they loaded it up with grain."	413.529	"Jeffrey L. Fisher"	"advocate"	"male"
"Jeffrey_L_Fisher"	"Towed it again, let it sit still for a couple years, towed it back, unloaded the grain."	419.683	"Jeffrey L. Fisher"	"advocate"	"male"
"Jeffrey_L_Fisher"	"And the Court said, it's not a vessel."	425.737	"Jeffrey L. Fisher"	"advocate"	"male"
"Jeffrey_L_Fisher"	"And why did this Court say it's not a vessel?"	427.271	"Jeffrey L. Fisher"	"advocate"	"male"
"Jeffrey_L_Fisher"	"And I will quote from the opinion."	429.14	"Jeffrey L. Fisher"	"advocate"	"male"
"Jeffrey_L_Fisher"	"It said:"	430.99	"Jeffrey L. Fisher"	"advocate"	"male"
"Jeffrey_L_Fisher"	"\"Because unlike a barge, the Harry Lane was not moved in order to transport commodities from one place to another; it served as a mobile warehouse performing its function of storing grain. \""	431.49	"Jeffrey L. Fisher"	"advocate"	"male"
"Sonia_Sotomayor"	"Counselor, can I -- can I -- I have been lost even as I have read the briefs, because there's a lot of terminology that I'm not sure -- and standards that have been proposed that -- what concepts they're tied to, okay?"	442.031	"Sonia Sotomayor"	"justice"	"female"
"Sonia_Sotomayor"	"As I see our cases, I am -- I'm not quite sure where indefinitely moored came from."	458.058	"Sonia Sotomayor"	"justice"	"female"
"Sonia_Sotomayor"	"I've seen the word permanently moored."	464.028	"Sonia Sotomayor"	"justice"	"female"
"Sonia_Sotomayor"	"You seem to be suggesting a difference between the two things, and I'm not sure where you get the latter, indefinitely moored, from, and how that ties to the concept of purpose."	467.265	"Sonia Sotomayor"	"justice"	"female"
"Sonia_Sotomayor"	"Does it -- does the permanent status or indefinite mooring of a vessel not make it -- of a structure not make it a vessel, and/or does purpose get layered on top of mooring?"	477.721	"Sonia Sotomayor"	"justice"	"female"
"Jeffrey_L_Fisher"	"No."	493.297	"Jeffrey L. Fisher"	"advocate"	"male"
"Jeffrey_L_Fisher"	"Purpose is the overall question."	493.916	"Jeffrey L. Fisher"	"advocate"	"male"
"Jeffrey_L_Fisher"	"The way that--"	495.549	"Jeffrey L. Fisher"	"advocate"	"male"
"Sonia_Sotomayor"	"But it applies to whether something is permanently moored or floating on the sea?"	497.368	"Sonia Sotomayor"	"justice"	"female"
"Jeffrey_L_Fisher"	"--That helps you determine its purpose."	501.903	"Jeffrey L. Fisher"	"advocate"	"male"
"Jeffrey_L_Fisher"	"So the word -- where the word indefinite comes from, Justice Sotomayor, is from the Stewart case, where this Court cited the Fifth Circuit's Pavone case with approval, which had held that an indefinitely moored floating casino was not a vessel."	503.789	"Jeffrey L. Fisher"	"advocate"	"male"
"Samuel_Alito"	"I just don't see how you can get purpose into this statutory language."	515.579	"Samuel Alito"	"justice"	"male"
"Samuel_Alito"	"It says nothing about purpose."	518.881	"Samuel Alito"	"justice"	"male"
"Samuel_Alito"	"It says, capable of being used as a means of transportation on water."	522.75	"Samuel Alito"	"justice"	"male"
"Samuel_Alito"	"How does purpose get in there?"	526.304	"Samuel Alito"	"justice"	"male"
"Samuel_Alito"	"Whose purpose are we talking about?"	528.47	"Samuel Alito"	"justice"	"male"
"Jeffrey_L_Fisher"	"We're talking about an objective purpose, Justice Alito--"	529.922	"Jeffrey L. Fisher"	"advocate"	"male"
"Elena_Kagan"	"Well, then you're not talking about purpose; you're talking about function, right?"	532.291	"Elena Kagan"	"justice"	"female"
"Elena_Kagan"	"You're just using purpose as a kind of strange synonym for function."	536.26	"Elena Kagan"	"justice"	"female"
"Elena_Kagan"	"But you're not talking about purpose of either the homeowner or the manufacturer of the boat."	538.962	"Elena Kagan"	"justice"	"female"
"Elena_Kagan"	"You're just saying what does this -- or what does this thing, this floating home, do."	544.266	"Elena Kagan"	"justice"	"female"
"Jeffrey_L_Fisher"	"--Exactly."	550.419	"Jeffrey L. Fisher"	"advocate"	"male"
"Jeffrey_L_Fisher"	"And I'm doing -- if I can just say this directly, I'm trying to do exactly what this Court did in Cope and Evansville and Roper."	551.702	"Jeffrey L. Fisher"	"advocate"	"male"
"Jeffrey_L_Fisher"	"The exact analysis this Court applied in those cases is precisely what we want this Court to apply here."	559.358	"Jeffrey L. Fisher"	"advocate"	"male"
"Jeffrey_L_Fisher"	"But I think what we're--"	564.762	"Jeffrey L. Fisher"	"advocate"	"male"
"Antonin_Scalia"	"Can I ask about that definition?"	565.645	"Antonin Scalia"	"justice"	"male"
"Antonin_Scalia"	"That definition comes from the Rules of Construction Act, right--"	567.714	"Antonin Scalia"	"justice"	"male"
"Jeffrey_L_Fisher"	"--Yes."	571.749	"Jeffrey L. Fisher"	"advocate"	"male"
"Antonin_Scalia"	"--which provides the meaning of all -- of the word vessel as used in the United States Code."	572.216	"Antonin Scalia"	"justice"	"male"
"Antonin_Scalia"	"Okay?"	581.705	"Antonin Scalia"	"justice"	"male"
"Jeffrey_L_Fisher"	"Correct."	582.391	"Jeffrey L. Fisher"	"advocate"	"male"
"Antonin_Scalia"	"What -- what meaning of vessel in the United States Code is at issue here?"	583.741	"Antonin Scalia"	"justice"	"male"
"Jeffrey_L_Fisher"	"The word vessel in the Maritime Lien Act, which is what provides the Federal forum, assertedly, for the plaintiff, the City, to bring this case."	589.961	"Jeffrey L. Fisher"	"advocate"	"male"
"Jeffrey_L_Fisher"	"So the word vessel is its jurisdictional and substantive hook."	599.084	"Jeffrey L. Fisher"	"advocate"	"male"
"Jeffrey_L_Fisher"	"Justice Sotomayor, if I can return to your question about indefinite mooring, the importance of indefinite mooring in this case, where you have something that was not a vessel to begin with, is simply to ask whether it's been transformed into a vessel, exactly as this Court asked in Roper."	603.368	"Jeffrey L. Fisher"	"advocate"	"male"
"Jeffrey_L_Fisher"	"So is it being used for its function for which it was created and--"	618.878	"Jeffrey L. Fisher"	"advocate"	"male"
"John_G_Roberts"	"Aren't you just begging the question?"	623.115	"John G. Roberts"	"justice"	"male"
"John_G_Roberts"	"You keep saying it was not a vessel to begin with."	624.349	"John G. Roberts"	"justice"	"male"
"John_G_Roberts"	"Why -- doesn't it just restate the question?"	626.317	"John G. Roberts"	"justice"	"male"
"Jeffrey_L_Fisher"	"--I'm not trying to beg the question; I'm just trying to describe our argument to you."	629.269	"Jeffrey L. Fisher"	"advocate"	"male"
"Jeffrey_L_Fisher"	"There are some cases where--"	632.888	"Jeffrey L. Fisher"	"advocate"	"male"
"John_G_Roberts"	"Well, doesn't your argument beg the question?"	634.188	"John G. Roberts"	"justice"	"male"
"Jeffrey_L_Fisher"	"--I hope not."	635.34	"Jeffrey L. Fisher"	"advocate"	"male"
"Jeffrey_L_Fisher"	"I'm trying to distinguish between two lines of cases, one being where you have things that were -- like the Roper case, that were made as boats, as vessels undisputedly, and now the question is whether they have been pulled out of navigation; as opposed to another set of cases, which we believe this falls into, where the question itself is whether this was ever a vessel."	637.373	"Jeffrey L. Fisher"	"advocate"	"male"
"Jeffrey_L_Fisher"	"In those kinds of cases, the indefinite mooring shows that it's being used for its function."	656.836	"Jeffrey L. Fisher"	"advocate"	"male"
"Jeffrey_L_Fisher"	"As a for-example, if I could give a hypothetical, maybe it would help, imagine a piece of floating dock."	661.574	"Jeffrey L. Fisher"	"advocate"	"male"
"Jeffrey_L_Fisher"	"Now, under their test, that would be a vessel because you can unhook the dock, load it up with stuff and tow it around, if a company wanted to use that as a makeshift barge."	666.192	"Jeffrey L. Fisher"	"advocate"	"male"
"Jeffrey_L_Fisher"	"But no maritime case has ever held that a floating dock is a vessel."	676.084	"Jeffrey L. Fisher"	"advocate"	"male"
"Jeffrey_L_Fisher"	"But if somebody did that, then it would no longer be indefinitely moored and would be used in a different function and might be transformed into a--"	679.952	"Jeffrey L. Fisher"	"advocate"	"male"
"Samuel_Alito"	"I think you may -- you may very well have a good argument, but if you're relying either on purpose or on indefinite mooring, then you've lost me."	687.189	"Samuel Alito"	"justice"	"male"
"Samuel_Alito"	"I don't see how they get -- how you get those into the words of the statute."	698.163	"Samuel Alito"	"justice"	"male"
"Samuel_Alito"	"Suppose you have a boat, and it's tied up at the harbor here in Washington."	702.049	"Samuel Alito"	"justice"	"male"
"Samuel_Alito"	"It hasn't been moved for five years."	705.686	"Samuel Alito"	"justice"	"male"
"Samuel_Alito"	"It's indefinitely moved -- or 10 years or 20 years."	707.303	"Samuel Alito"	"justice"	"male"
