"infer_dem","infer_rep","infer_engaged","infer_agree","infer_black","infer_religious","infer_abort","infer_welfare","infer_pol","infer_engaged2","infer_agree2","infer_ideo2","vignette_warmth_1","treat_vignette","treat_vignette2","vignette","vignette2","vignette_pid","vignette_pid2","treat_vignette_loyal","rand_policy_branded","rand_policy_unbranded","respondent_pid","FL_149_DO_vignette2_infer","age","gender"
"Extremely likely","Extremely unlikely","A little bit","Sometimes agree, sometimes disagree","Neither likely nor unlikely","Neither likely nor unlikely","Neither likely nor unlikely","Neither likely nor unlikely","Extremely likely","A little bit","Usually disagree","Very conservative","31","pid_unbranded","pid_strong_mod_inactive","Suppose you meet a person who enjoys watching TV,  listens to rock music, and is a Democrat. They believe that electricians should be required to have licenses, because poor electrical work can create serious damage and even danger.","Suppose you meet a man who works as a waiter,  is from Colorado, and is a Republican. He describes himself as a 'real' Republican. When he talks about Republicans he uses the word 'we.' When someone criticizes Republicans, he feels like they are criticising him. <br><br>He is moderately conservative. He believes that federal taxes and spending should not be increased, and that abortion should be illegal in some circumstances. <br><br>He is not very active in politics. His yard never has lawn signs at election time, he does not attend town meetings, and he has never volunteered on a campaign. ","Democrat","Republican","Like","same sex couples should be allowed to adopt children.","electricians should be required to have licenses, because poor electrical work can create serious damage and even danger.","Dem","1","33","1"
"Neither likely nor unlikely","Neither likely nor unlikely","A little bit","Usually agree","Neither likely nor unlikely","Neither likely nor unlikely","Slightly likely","Moderately unlikely","Moderately unlikely","A little bit","Usually disagree","Moderate","48","pid_unbranded_labeled","pid","Suppose you meet a person who enjoys exercising,  is from South Carolina, and is a Democrat. Unlike many Democrats, they believe that requiring electricians to have licenses does not improve the quality of their work, and prevents people from joining the profession.","Suppose you meet a man who listens to pop music,  works as an electrician, and is a Republican.","Democrat","Republican","Unlike","same sex couples should not be allowed to adopt children.","requiring electricians to have licenses does not improve the quality of their work, and prevents people from joining the profession.","Dem","2","36","1"
"Extremely unlikely","Extremely likely","Somewhat","Usually agree","Slightly unlikely","Slightly likely","Slightly likely","Neither likely nor unlikely","Slightly likely","A little bit","Usually disagree","Very liberal","31","pid","pid_strong","Suppose you meet a person who works as a physician's assistant,  enjoys watching TV, and is a Republican.","Suppose you meet a man who is from Ohio,  listens to rap music, and is a Democrat. He describes himself as a 'real' Democrat. When he talks about Democrats he uses the word 'we.' When someone criticizes Democrats, he feels like they are criticising him.","Republican","Democrat","Unlike","same sex couples should not be allowed to adopt children.","mobile phone carriers should be prohibited from selling customers’ data, because this sale is an invasion of privacy.","Rep","2","61","2"
"Extremely likely","Extremely unlikely","A little bit","Sometimes agree, sometimes disagree","Neither likely nor unlikely","Neither likely nor unlikely","Extremely unlikely","Neither likely nor unlikely","Extremely unlikely","A little bit","Sometimes agree, sometimes disagree","Somewhat conservative","71","pid_branded","pid","Suppose you meet a person who listens to rap music,  is from Massachusetts, and is a Democrat. They believe that the federal government should make it easier for people to buy a gun.","Suppose you meet a man who works as a police officer,  enjoys watching sports, and is a Democrat.","Democrat","Democrat","Like","the federal government should make it easier for people to buy a gun.","mobile phone carriers should be prohibited from selling customers’ data, because this sale is an invasion of privacy.","Ind","2","68","1"
"Moderately likely","Moderately likely","Somewhat","Sometimes agree, sometimes disagree","Slightly likely","Extremely likely","Neither likely nor unlikely","Moderately likely","Neither likely nor unlikely","Somewhat","Sometimes agree, sometimes disagree","Moderate","47","pid_unbranded","pid_strong","Suppose you meet a person who listens to rock music,  is from Massachusetts, and is a Democrat. They believe that requiring electricians to have licenses does not improve the quality of their work, and prevents people from joining the profession.","Suppose you meet a man who enjoys shopping,  works as a personal injury lawyer, and is a Democrat. He describes himself as a 'real' Democrat. When he talks about Democrats he uses the word 'we.' When someone criticizes Democrats, he feels like they are criticising him.","Democrat","Democrat","Like","immigrants brought to the U.S. illegally as children should be allowed to live and work in the U.S. and eventually become citizens.","requiring electricians to have licenses does not improve the quality of their work, and prevents people from joining the profession.","Rep","1","18","2"
"Neither likely nor unlikely","Neither likely nor unlikely","A little bit","Usually disagree","Neither likely nor unlikely","Neither likely nor unlikely","Neither likely nor unlikely","Neither likely nor unlikely","Neither likely nor unlikely","A little bit","Always agree","Somewhat conservative","50","pid_unbranded_labeled","pid_strong_mod_inactive","Suppose you meet a person who enjoys reading,  works as a physician's assistant, and is a Democrat. Unlike many Democrats, they believe that consumers voluntarily provide data to their mobile phone carriers, and carriers should be allowed to sell this data.","Suppose you meet a man who listens to rock music,  is from Colorado, and is a Republican. He describes himself as a 'real' Republican. When he talks about Republicans he uses the word 'we.' When someone criticizes Republicans, he feels like they are criticising him. <br><br>He is moderately conservative. He believes that federal taxes and spending should not be increased, and that abortion should be illegal in some circumstances. <br><br>He is not very active in politics. His yard never has lawn signs at election time, he does not attend town meetings, and he has never volunteered on a campaign. ","Democrat","Republican","Unlike","same sex couples should not be allowed to adopt children.","consumers voluntarily provide data to their mobile phone carriers, and carriers should be allowed to sell this data.","Dem","1","42","1"
"Neither likely nor unlikely","Slightly likely","A little bit","Sometimes agree, sometimes disagree","Moderately likely","Moderately likely","Slightly likely","Moderately likely","Moderately unlikely","A little bit","Sometimes agree, sometimes disagree","Moderate","56","pid","pid_strong_mod_inactive","Suppose you meet a person who is from Colorado,  enjoys cooking, and is a Democrat.","Suppose you meet a man who listens to pop music,  works as a waiter, and is a Republican. He describes himself as a 'real' Republican. When he talks about Republicans he uses the word 'we.' When someone criticizes Republicans, he feels like they are criticising him. <br><br>He is moderately conservative. He believes that federal taxes and spending should not be increased, and that abortion should be illegal in some circumstances. <br><br>He is not very active in politics. His yard never has lawn signs at election time, he does not attend town meetings, and he has never volunteered on a campaign. ","Democrat","Republican","Unlike","immigrants brought to the U.S. illegally as children should be allowed to live and work in the U.S. and eventually become citizens.","requiring electricians to have licenses does not improve the quality of their work, and prevents people from joining the profession.","Dem","2","19","2"
"Extremely unlikely","Neither likely nor unlikely","A little bit","Sometimes agree, sometimes disagree","Slightly unlikely","Neither likely nor unlikely","Neither likely nor unlikely","Slightly likely","Neither likely nor unlikely","Somewhat","Sometimes agree, sometimes disagree","Moderate","63","pid_branded","pid_strong_extreme_active","Suppose you meet a person who is from Ohio,  works as an electrician, and is a Republican. They believe that same sex couples should be allowed to adopt children.","Suppose you meet a man who listens to country music,  enjoys shopping, and is a Democrat. He describes himself as a 'real' Democrat. When he talks about Democrats he uses the word 'we.' When someone criticizes Democrats, he feels like they are criticising him. <br><br>He is extremely liberal. He believes that federal taxes and spending should be greatly increased, and that abortion should be legal in all circumstances. <br><br>He is highly active in politics. His yard is dotted with lawn signs at election time, he speaks up in town meetings, and he volunteers on many campaigns. ","Republican","Democrat","Like","same sex couples should be allowed to adopt children.","consumers voluntarily provide data to their mobile phone carriers, and carriers should be allowed to sell this data.","Rep","2","37","2"
"Extremely likely","Extremely unlikely","A little bit","Sometimes agree, sometimes disagree","Neither likely nor unlikely","Neither likely nor unlikely","Neither likely nor unlikely","Neither likely nor unlikely","Extremely likely","A great deal","Always disagree","Very conservative","22","pid_branded","pid_strong","Suppose you meet a person who enjoys watching sports,  is from California, and is a Republican. They believe that the federal government should make it more difficult for people to buy a gun.","Suppose you meet a man who works as an electrician,  listens to rock music, and is a Republican. He describes himself as a 'real' Republican. When he talks about Republicans he uses the word 'we.' When someone criticizes Republicans, he feels like they are criticising him.","Republican","Republican","Unlike","the federal government should make it more difficult for people to buy a gun.","requiring electricians to have licenses does not improve the quality of their work, and prevents people from joining the profession.","Dem","1","68","1"
"Neither likely nor unlikely","Slightly unlikely","A great deal","Sometimes agree, sometimes disagree","Slightly unlikely","Neither likely nor unlikely","Moderately unlikely","Moderately unlikely","Neither likely nor unlikely","Somewhat","Usually disagree","Moderate","70","pid_branded","pid_strong","Suppose you meet a person who works as an electrician,  is from South Carolina, and is a Republican. They believe that same sex couples should be allowed to adopt children.","Suppose you meet a man who enjoys watching sports,  listens to rock music, and is a Democrat. He describes himself as a 'real' Democrat. When he talks about Democrats he uses the word 'we.' When someone criticizes Democrats, he feels like they are criticising him.","Republican","Democrat","Like","same sex couples should be allowed to adopt children.","mobile phone carriers should be prohibited from selling customers’ data, because this sale is an invasion of privacy.","Rep","1","23","1"
