Q10,Q11,Q12,Q16,Q18,Q21,Q25,Q26,Q29,Q30,Q34,Q36,Q39,Q41,Income,Gender,Prayer,SI,Milieu,age1,yearbirth,Age,Q51,Q51other,Q53,Q53other
5,1,4,5,1,5,5,5,3,1,6,6,6,1,2,1,2,4,1,32,1987,2,NA,NA,NA,NA
5,5,4,6,5,5,4,6,5,5,4,5,6,5,NA,0,5,7,1,61,1958,5,NA,NA,12,NA
6,6,2,4,3,6,1,4,6,2,6,5,5,6,2,1,5,6,1,22,1997,1,9,15,3,NA
5,5,4,5,5,5,4,4,6,6,6,6,6,6,2,0,2,6,1,41,1978,3,NA,NA,NA,NA
6,5,6,6,6,5,3,2,6,6,2,6,2,6,NA,1,2,6,1,50,1969,4,NA,NA,NA,NA
1,6,6,2,1,6,1,NA,6,6,6,1,1,6,NA,0,1,NA,1,73,1946,5,NA,NA,NA,NA
1,6,1,5,1,6,3,5,3,6,6,NA,NA,1,1,1,1,4,1,21,1998,1,NA,NA,NA,NA
5,3,5,5,5,6,6,6,6,5,6,6,5,5,4,0,2,3,1,20,1999,1,NA,NA,NA,NA
6,5,6,6,1,4,6,2,6,6,6,6,6,4,2,1,NA,2,1,49,1970,3,99,NA,NA,NA
6,6,6,6,6,6,6,6,5,6,5,5,2,5,2,0,5,6,1,64,1955,5,NA,NA,NA,NA
5,6,1,1,6,1,1,4,6,6,6,6,6,6,2,1,5,6,1,56,1963,4,98,NA,4,NA
6,6,6,5,6,6,6,6,6,6,6,6,6,6,NA,0,5,7,1,62,1957,5,2,NA,10,NA
6,5,5,5,5,NA,4,5,NA,6,6,6,6,1,1,1,NA,6,1,57,1962,4,99,NA,10,NA
6,6,5,6,5,5,4,2,6,6,6,6,5,6,2,0,5,6,1,53,1966,4,NA,NA,NA,NA
5,1,1,5,1,6,3,5,5,6,6,6,1,6,2,1,1,6,1,29,1990,1,NA,NA,NA,NA
5,4,3,5,5,4,4,5,2,5,6,6,6,2,NA,0,5,7,1,45,1974,3,NA,NA,NA,NA
1,6,6,6,6,6,NA,6,6,6,5,5,6,6,3,1,5,4,1,81,1938,5,NA,NA,NA,NA
6,6,6,6,6,6,6,NA,6,6,6,5,2,6,2,0,5,6,1,71,1948,5,NA,NA,99,NA
2,6,1,1,1,3,1,5,6,6,6,6,1,6,1,1,5,4,1,74,1945,5,99,NA,99,NA
6,6,6,5,4,5,6,5,6,6,6,6,1,6,2,0,5,6,1,53,1966,4,1,NA,11,NA
5,5,5,5,5,5,5,4,5,6,6,6,5,5,2,1,2,6,1,35,1984,2,NA,NA,10,NA
5,6,2,2,4,5,6,5,6,6,6,6,6,6,1,0,5,7,1,62,1957,5,2,NA,12,NA
