article.type,cue.memory.cutoff,cue.memory.policy,cue.memory.total.recipients,education,gender,gender.original,gk.Cheney,gk.Cheney.original,initial.like,ncog1,ncog3,ncog4,ncog5,ncog6,ncog7,state,year.of.birth,cue.condition,Demsupp,Demopp,female,male,age,age.legit,educ.low,Northeast,North.Central,South,West,region,PID.pre
con_Demopp,about $500 a month,neither,"about 100,000",12th,male,male,TRUE,Vice-Pres,disapprove strongly,slightly prefer complex proble,a lot,no preference,like a little,neither like nor dislike,slightly more satisfied than r,OH,1935,Demopp,FALSE,TRUE,FALSE,TRUE,73,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,North Central,Dem
lib_Demsupp,"about $1,000 a month",reduce,"about 50,000",some college,female,female,FALSE,NA,disapprove somewhat,no preference,a moderate amount,"somewhat prefer big, long-term",neither like nor dislike,like somewhat,relief and satisfaction to the,OR,1963,Demsupp,TRUE,FALSE,TRUE,FALSE,45,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,West,Rep
con_Demopp,"about $1,000 a month",reduce,"about 500,000",12th,male,Male,TRUE,Vice President,approve somewhat,no preference,a lot,no preference,neither like nor dislike,like a little,somewhat more satisfied than r,NC,1940,Demopp,FALSE,TRUE,FALSE,TRUE,68,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,South,Rep
con_nocue,about $500 a month,reduce,NA,12th,male,male,TRUE,vp,disapprove somewhat,somewhat prefer simple problem,a great deal,"somewhat prefer small, daily p",like somewhat,like somewhat,relief and satisfaction to the,WV,1960,nocue,FALSE,FALSE,FALSE,TRUE,48,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,South,Dem
lib_nocue,"about $2,500 a month",expand,"about 100,000",some college,male,male,TRUE,Vice President,neither approve nor disapprove,no preference,a lot,no preference,dislike a lot,dislike somewhat,relief and satisfaction to the,MS,1957,nocue,FALSE,FALSE,FALSE,TRUE,51,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,South,Rep
lib_nocue,"about $2,500 a month",expand,"about 100,000",M.A.,male,Male,TRUE,Vice President,approve slightly,slightly prefer complex proble,a lot,"slightly prefer small, daily p",dislike a little,like somewhat,somewhat more satisfied than r,OK,1945,nocue,FALSE,FALSE,FALSE,TRUE,63,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,South,Dem
con_Demopp,about $500 a month,reduce,about 1 million,M.A.,male,male,TRUE,VP,disapprove somewhat,somewhat prefer simple problem,a moderate amount,"greatly prefer small, daily pr",dislike a little,neither like nor dislike,somewhat more relieved than sa,NC,1950,Demopp,FALSE,TRUE,FALSE,TRUE,58,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,South,Rep
con_Demsupp,"about $1,000 a month",neither,"about 100,000",12th,male,male,TRUE,vice president,neither approve nor disapprove,no preference,a lot,no preference,dislike a little,like somewhat,relief and satisfaction to the,NE,1936,Demsupp,TRUE,FALSE,FALSE,TRUE,72,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,North Central,Rep
lib_Demopp,"about $2,500 a month",reduce,"about 500,000",B.A.,male,Male,TRUE,Vice President,neither approve nor disapprove,no preference,a great deal,"slightly prefer small, daily p",like a little,like somewhat,somewhat more satisfied than r,IL,1979,Demopp,FALSE,TRUE,FALSE,TRUE,29,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,North Central,Rep
con_Demsupp,"about $2,000 a month",reduce,"about 100,000",B.A.,male,male,TRUE,VP,approve somewhat,somewhat prefer complex proble,a lot,"somewhat prefer big, long-term",like somewhat,like somewhat,somewhat more satisfied than r,TN,1948,Demsupp,TRUE,FALSE,FALSE,TRUE,60,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,South,Rep
lib_Demopp,"about $1,500 a month",expand,"about 50,000",12th,male,male,TRUE,vice president,neither approve nor disapprove,no preference,a lot,no preference,neither like nor dislike,like a little,slightly more satisfied than r,OH,1974,Demopp,FALSE,TRUE,FALSE,TRUE,34,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,North Central,Rep
lib_Demsupp,"about $2,500 a month",expand,"about 100,000",12th,female,femail,TRUE,Vice President,approve somewhat,no preference,a moderate amount,"slightly prefer small, daily p",neither like nor dislike,like somewhat,relief and satisfaction to the,TX,1954,Demsupp,TRUE,FALSE,TRUE,FALSE,54,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,South,Dem
lib_Demsupp,"about $1,500 a month",reduce,"about 100,000",B.A.,male,Male,TRUE,VP,neither approve nor disapprove,no preference,a moderate amount,"slightly prefer small, daily p",like a little,like somewhat,slightly more satisfied than r,MN,1969,Demsupp,TRUE,FALSE,FALSE,TRUE,39,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,North Central,Rep
con_nocue,about $500 a month,reduce,about 1 million,M.A.,male,male,TRUE,vice president,disapprove somewhat,slightly prefer complex proble,a great deal,"slightly prefer big, long-term",like somewhat,like somewhat,much more satisfied than relie,NC,1971,nocue,FALSE,FALSE,FALSE,TRUE,37,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,South,Dem
con_Demopp,about $500 a month,reduce,about 1 million,some college,female,female,TRUE,vice president of the US,disapprove strongly,no preference,a moderate amount,no preference,dislike a little,like somewhat,relief and satisfaction to the,NY,1946,Demopp,FALSE,TRUE,TRUE,FALSE,62,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,Northeast,Dem
lib_nocue,"about $2,000 a month",reduce,"about 100,000",B.A.,male,Male,TRUE,Vice Presidaent,disapprove strongly,somewhat prefer complex proble,a lot,"somewhat prefer big, long-term",like a little,like somewhat,much more satisfied than relie,FL,1971,nocue,FALSE,FALSE,FALSE,TRUE,37,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,South,Rep
