article.type,cue.memory.cutoff,cue.memory.policy,cue.memory.total.recipients,education,gender,gender.original,initial.like,ncog1,ncog3,ncog4,ncog5,ncog6,ncog7,state,year.of.birth,cue.condition,policy,policy.size,female,male,age,age.legit,educ.low,Northeast,North.Central,South,West,region,time.on.article,PID.pre
con_large_Demopp,"about $1,300 a month",expand,"about 100,000",12th,female,female,approve slightly,slightly prefer complex problems,a lot,"somewhat prefer big, long-term projects",like a little,neither like nor dislike,slightly more satisfied than relieved,VA,1991,Dem_opp,reduce,large,TRUE,FALSE,19,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,South,11,Rep
lib_slight_Demopp,"about $1,300 a month",expand,"about 50,000",M.A.,male,Male,disapprove somewhat,slightly prefer complex problems,a great deal,"slightly prefer big, long-term projects",like a little,like a little,slightly more relieved than satisfied,FL,1986,Dem_opp,expand,small,FALSE,TRUE,24,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,South,82,Dem
con_slight_Demopp,"about $1,000 a month",neither,"about 100,000",B.A.,female,female,approve slightly,no preference,a lot,no preference,neither like nor dislike,like a little,somewhat more satisfied than relieved,IL,1941,Dem_opp,reduce,small,TRUE,FALSE,69,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,North Central,148,Rep
con_slight_Demopp,"about $1,300 a month",reduce,about 1 million,12th,female,Female,disapprove slightly,slightly prefer simple problems,a little,"slightly prefer big, long-term projects",neither like nor dislike,dislike a little,relief and satisfaction to the same degree,OH,1946,Dem_opp,reduce,small,TRUE,FALSE,64,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,North Central,179,Rep
con_large_nocue,about $500 a month,reduce,NA,some college,female,female,disapprove strongly,slightly prefer simple problems,a moderate amount,no preference,neither like nor dislike,neither like nor dislike,relief and satisfaction to the same degree,ND,1961,no_cue,reduce,large,TRUE,FALSE,49,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,North Central,98,Rep
con_large_nocue,about $500 a month,reduce,NA,B.A.,male,male,neither approve nor disapprove,no preference,a moderate amount,"greatly prefer small, daily projects",neither like nor dislike,neither like nor dislike,somewhat more relieved than satisfied,NY,1935,no_cue,reduce,large,FALSE,TRUE,75,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,Northeast,117,Rep
lib_large_nocue,"about $2,200 a month",expand,"about 100,000",12th,female,female,approve somewhat,no preference,a lot,no preference,neither like nor dislike,like somewhat,somewhat more satisfied than relieved,OR,1940,no_cue,expand,large,TRUE,FALSE,70,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,West,153,Dem
con_slight_nocue,"about $1,300 a month",expand,"about 100,000",M.A.,male,Male,disapprove slightly,somewhat prefer complex problems,a great deal,"slightly prefer big, long-term projects",like somewhat,like a lot,somewhat more satisfied than relieved,NC,1949,no_cue,reduce,small,FALSE,TRUE,61,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,South,74,Dem
lib_slight_nocue,"about $1,600 a month",expand,"about 10,000",B.A.,female,female,approve slightly,slightly prefer simple problems,a little,"slightly prefer small, daily projects",dislike a little,neither like nor dislike,somewhat more satisfied than relieved,WI,1985,no_cue,expand,small,TRUE,FALSE,25,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,North Central,166,Dem
lib_slight_nocue,"about $1,300 a month",expand,"about 500,000",some college,female,female,disapprove slightly,slightly prefer simple problems,a moderate amount,"slightly prefer small, daily projects",like somewhat,dislike a little,somewhat more relieved than satisfied,AZ,1963,no_cue,expand,small,TRUE,FALSE,47,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,West,274,Rep
